age,gender,ad_count,total_impressions,total_clicks,total_spend,total_conversions,approved_conversions,ctr,cpc,cpm,click_to_approved_rate,cost_per_approved_conv,qualification_state
30-34,F,197,31571576,5099,7611.479995127,619,195,0.0001615060331482977,1.4927397519370464,0.2410864758581263,0.038242792704451856,39.033230744241024,Qualified (High Sample)
30-34,M,229,36421443,4384,7640.919991251,812,299,0.0001203686520602712,1.7429105819459398,0.20979179741041565,0.06820255474452555,25.554916358698996,Qualified (High Sample)
35-39,F,109,21439505,4161,6061.349991827,304,95,0.00019408097341799637,1.4567051169975966,0.2827187470898698,0.0228310502283105,63.80368412449474,Qualified (High Sample)
35-39,M,139,20665139,2933,5051.080002508,322,112,0.00014192984620137324,1.7221547911721786,0.24442516464602537,0.03818615751789976,45.09892859382143,Qualified (High Sample)
40-44,F,107,23396175,5177,7396.579983637,322,93,0.0002212754862707259,1.4287386485680895,0.31614483921568376,0.017964071856287425,79.53311810362365,Qualified (High Sample)
40-44,M,103,16208132,2559,4193.149997201,201,77,0.00015788370923928803,1.6385892915986713,0.25870655527737557,0.03008987885892927,54.45649347014285,Qualified (High Sample)
45-49,F,138,38455591,9441,13433.209992777,399,112,0.00024550396325985474,1.4228588065646648,0.34931747617081216,0.011863150090032835,119.93937493550892,Qualified (High Sample)
45-49,M,121,25277267,4411,7317.460003877,285,96,0.00017450462504510475,1.6589118122595785,0.28948778378125295,0.021763772387213783,76.22354170705209,Qualified (High Sample)
